Row,z_1,z_2
0,-0.8150765475864551,1.031914129159757
1,-1.4265207375239004,1.0492922439174912
2,-1.036598542153046,1.4557214194599795
3,-0.7872377523512925,1.4265231213908511
4,-0.29420487683508345,0.8385774220180456
5,,
6,-0.0026544532450984244,-1.3994669566016453
7,-0.48139964001081453,-1.1053345020114163
8,0.0835724886747751,-0.7558699712324723
9,0.21012074619615273,-0.4018899106798994
10,0.48384816454867174,-0.2320345372841646
11,0.9027029231861106,-0.19518562425921246
12,1.2632741948040414,-0.3322652902626888
13,0.7138815069055089,-1.0047553585390692
14,0.657013946089546,-1.3303986711744964
15,0.663972692857245,-1.3841778279128234
16,0.5289757251519673,-1.3830866847668957
17,0.4259796053053621,-1.3613837502082944
18,,
19,0.8368188936778589,0.4666415753997185
20,0.5935994893555022,0.7187076855061353
21,0.37400708375555625,1.0015200633067196
22,0.4780952865750888,1.3674376120336094
23,1.1070326522152636,0.8253702133168199
24,1.1848105027328009,0.5094692886907717
